------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:39 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
app_layer.flow.http                           | Total                     | 24
app_layer.tx.http                             | Total                     | 24
app_layer.flow.dns_udp                        | Total                     | 30
app_layer.tx.dns_udp                          | Total                     | 30
app_layer.flow.failed_udp                     | Total                     | 38
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 9
flow.mgr.flows_notimeout                      | Total                     | 9
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 888832
http.memuse                                   | Total                     | 2400
flow.memuse                                   | Total                     | 7474304
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:51:11 (uptime: 0d, 00h 00m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1215
decoder.pkts                                  | Total                     | 1226
decoder.bytes                                 | Total                     | 111943
decoder.ipv4                                  | Total                     | 1198
decoder.ipv6                                  | Total                     | 10
decoder.ethernet                              | Total                     | 1226
decoder.tcp                                   | Total                     | 1017
decoder.udp                                   | Total                     | 101
decoder.icmpv4                                | Total                     | 78
decoder.icmpv6                                | Total                     | 10
decoder.avg_pkt_size                          | Total                     | 91
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 70
flow.udp                                      | Total                     | 90
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 6
tcp.sessions                                  | Total                     | 70
tcp.syn                                       | Total                     | 237
tcp.synack                                    | Total                     | 237
tcp.rst                                       | Total                     | 206
detect.alert                                  | Total                     | 678
app_layer.flow.http                           | Total                     | 31
app_layer.tx.http                             | Total                     | 31
app_layer.flow.dns_udp                        | Total                     | 42
app_layer.tx.dns_udp                          | Total                     | 42
app_layer.flow.failed_udp                     | Total                     | 48
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9200
