------------------------------------------------------------------------------------
Date: 5/31/2025 -- 15:50:39 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
http.memuse                                   | Total                     | 15456
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:11:51 (uptime: 0d, 00h 21m 20s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 39075
decoder.pkts                                  | Total                     | 39086
decoder.bytes                                 | Total                     | 3493810
decoder.ipv4                                  | Total                     | 38563
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 39086
decoder.tcp                                   | Total                     | 32943
decoder.udp                                   | Total                     | 3080
decoder.icmpv4                                | Total                     | 2558
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2214
flow.udp                                      | Total                     | 2972
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 35
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 53
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 264
tcp.sessions                                  | Total                     | 2214
tcp.syn                                       | Total                     | 7898
tcp.synack                                    | Total                     | 7898
tcp.rst                                       | Total                     | 6962
detect.alert                                  | Total                     | 21895
app_layer.flow.http                           | Total                     | 936
app_layer.tx.http                             | Total                     | 936
app_layer.flow.dns_udp                        | Total                     | 1525
app_layer.tx.dns_udp                          | Total                     | 1527
app_layer.flow.failed_udp                     | Total                     | 1447
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 10071
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5171
flow.mgr.flows_notimeout                      | Total                     | 901
flow.mgr.flows_timeout                        | Total                     | 4270
flow.mgr.flows_evicted                        | Total                     | 4281
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1454080
http.memuse                                   | Total                     | 15648
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:11:59 (uptime: 0d, 00h 21m 28s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 39310
decoder.pkts                                  | Total                     | 39338
decoder.bytes                                 | Total                     | 3515163
decoder.ipv4                                  | Total                     | 38813
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 39338
decoder.tcp                                   | Total                     | 33154
decoder.udp                                   | Total                     | 3101
decoder.icmpv4                                | Total                     | 2576
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2228
flow.udp                                      | Total                     | 2993
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 35
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 54
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 266
tcp.sessions                                  | Total                     | 2228
tcp.syn                                       | Total                     | 7952
tcp.synack                                    | Total                     | 7952
tcp.rst                                       | Total                     | 7011
detect.alert                                  | Total                     | 22034
app_layer.flow.http                           | Total                     | 941
app_layer.tx.http                             | Total                     | 941
app_layer.flow.dns_udp                        | Total                     | 1537
app_layer.tx.dns_udp                          | Total                     | 1539
app_layer.flow.failed_udp                     | Total                     | 1456
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 10016
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5218
flow.mgr.flows_notimeout                      | Total                     | 909
flow.mgr.flows_timeout                        | Total                     | 4309
flow.mgr.flows_evicted                        | Total                     | 4320
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1466368
http.memuse                                   | Total                     | 15936
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:12:07 (uptime: 0d, 00h 21m 36s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 39717
decoder.pkts                                  | Total                     | 39747
decoder.bytes                                 | Total                     | 3556571
decoder.ipv4                                  | Total                     | 39218
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 39747
decoder.tcp                                   | Total                     | 33517
decoder.udp                                   | Total                     | 3124
decoder.icmpv4                                | Total                     | 2595
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2251
flow.udp                                      | Total                     | 3015
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 35
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 54
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 268
tcp.sessions                                  | Total                     | 2251
tcp.syn                                       | Total                     | 8027
tcp.synack                                    | Total                     | 8027
tcp.rst                                       | Total                     | 7072
detect.alert                                  | Total                     | 22276
app_layer.flow.http                           | Total                     | 955
app_layer.tx.http                             | Total                     | 955
app_layer.flow.dns_udp                        | Total                     | 1549
app_layer.tx.dns_udp                          | Total                     | 1551
app_layer.flow.failed_udp                     | Total                     | 1466
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 10048
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5257
flow.mgr.flows_notimeout                      | Total                     | 914
flow.mgr.flows_timeout                        | Total                     | 4343
flow.mgr.flows_evicted                        | Total                     | 4354
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1490944
http.memuse                                   | Total                     | 16512
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:12:15 (uptime: 0d, 00h 21m 44s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 39897
decoder.pkts                                  | Total                     | 39917
decoder.bytes                                 | Total                     | 3570386
decoder.ipv4                                  | Total                     | 39386
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 39917
decoder.tcp                                   | Total                     | 33659
decoder.udp                                   | Total                     | 3138
decoder.icmpv4                                | Total                     | 2607
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2260
flow.udp                                      | Total                     | 3029
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 35
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 55
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 270
tcp.sessions                                  | Total                     | 2260
tcp.syn                                       | Total                     | 8065
tcp.synack                                    | Total                     | 8065
tcp.rst                                       | Total                     | 7107
detect.alert                                  | Total                     | 22368
app_layer.flow.http                           | Total                     | 958
app_layer.tx.http                             | Total                     | 958
app_layer.flow.dns_udp                        | Total                     | 1556
app_layer.tx.dns_udp                          | Total                     | 1558
app_layer.flow.failed_udp                     | Total                     | 1473
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 9972
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5289
flow.mgr.flows_notimeout                      | Total                     | 923
flow.mgr.flows_timeout                        | Total                     | 4366
flow.mgr.flows_evicted                        | Total                     | 4377
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1486848
http.memuse                                   | Total                     | 16416
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:12:23 (uptime: 0d, 00h 21m 52s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 40105
decoder.pkts                                  | Total                     | 40124
decoder.bytes                                 | Total                     | 3587960
decoder.ipv4                                  | Total                     | 39589
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 40124
decoder.tcp                                   | Total                     | 33821
decoder.udp                                   | Total                     | 3160
decoder.icmpv4                                | Total                     | 2626
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2273
flow.udp                                      | Total                     | 3051
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 36
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 56
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 272
tcp.sessions                                  | Total                     | 2273
tcp.syn                                       | Total                     | 8106
tcp.synack                                    | Total                     | 8106
tcp.rst                                       | Total                     | 7144
detect.alert                                  | Total                     | 22488
app_layer.flow.http                           | Total                     | 962
app_layer.tx.http                             | Total                     | 962
app_layer.flow.dns_udp                        | Total                     | 1568
app_layer.tx.dns_udp                          | Total                     | 1570
app_layer.flow.failed_udp                     | Total                     | 1483
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 10006
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5327
flow.mgr.flows_notimeout                      | Total                     | 929
flow.mgr.flows_timeout                        | Total                     | 4398
flow.mgr.flows_evicted                        | Total                     | 4409
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1470464
http.memuse                                   | Total                     | 16032
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:12:31 (uptime: 0d, 00h 22m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 40317
decoder.pkts                                  | Total                     | 40328
decoder.bytes                                 | Total                     | 3602294
decoder.ipv4                                  | Total                     | 39787
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 40328
decoder.tcp                                   | Total                     | 33987
decoder.udp                                   | Total                     | 3177
decoder.icmpv4                                | Total                     | 2641
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2284
flow.udp                                      | Total                     | 3067
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 37
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 56
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 275
tcp.sessions                                  | Total                     | 2284
tcp.syn                                       | Total                     | 8155
tcp.synack                                    | Total                     | 8155
tcp.rst                                       | Total                     | 7191
detect.alert                                  | Total                     | 22586
app_layer.flow.http                           | Total                     | 964
app_layer.tx.http                             | Total                     | 964
app_layer.flow.dns_udp                        | Total                     | 1574
app_layer.tx.dns_udp                          | Total                     | 1576
app_layer.flow.failed_udp                     | Total                     | 1493
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 9931
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5354
flow.mgr.flows_notimeout                      | Total                     | 933
flow.mgr.flows_timeout                        | Total                     | 4421
flow.mgr.flows_evicted                        | Total                     | 4432
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1445888
http.memuse                                   | Total                     | 15456
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:12:39 (uptime: 0d, 00h 22m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 40456
decoder.pkts                                  | Total                     | 40480
decoder.bytes                                 | Total                     | 3615533
decoder.ipv4                                  | Total                     | 39939
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 40480
decoder.tcp                                   | Total                     | 34113
decoder.udp                                   | Total                     | 3192
decoder.icmpv4                                | Total                     | 2652
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2293
flow.udp                                      | Total                     | 3080
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 37
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 56
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 276
tcp.sessions                                  | Total                     | 2293
tcp.syn                                       | Total                     | 8187
tcp.synack                                    | Total                     | 8187
tcp.rst                                       | Total                     | 7220
detect.alert                                  | Total                     | 22669
app_layer.flow.http                           | Total                     | 967
app_layer.tx.http                             | Total                     | 967
app_layer.flow.dns_udp                        | Total                     | 1580
app_layer.tx.dns_udp                          | Total                     | 1582
app_layer.flow.failed_udp                     | Total                     | 1500
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 9954
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5386
flow.mgr.flows_notimeout                      | Total                     | 940
flow.mgr.flows_timeout                        | Total                     | 4446
flow.mgr.flows_evicted                        | Total                     | 4457
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1454080
http.memuse                                   | Total                     | 15648
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:12:47 (uptime: 0d, 00h 22m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 40738
decoder.pkts                                  | Total                     | 40744
decoder.bytes                                 | Total                     | 3637718
decoder.ipv4                                  | Total                     | 40203
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 40744
decoder.tcp                                   | Total                     | 34336
decoder.udp                                   | Total                     | 3215
decoder.icmpv4                                | Total                     | 2670
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2307
flow.udp                                      | Total                     | 3101
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 37
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 56
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 276
tcp.sessions                                  | Total                     | 2307
tcp.syn                                       | Total                     | 8245
tcp.synack                                    | Total                     | 8245
tcp.rst                                       | Total                     | 7273
detect.alert                                  | Total                     | 22814
app_layer.flow.http                           | Total                     | 972
app_layer.tx.http                             | Total                     | 972
app_layer.flow.dns_udp                        | Total                     | 1591
app_layer.tx.dns_udp                          | Total                     | 1594
app_layer.flow.failed_udp                     | Total                     | 1510
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 9975
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5412
flow.mgr.flows_notimeout                      | Total                     | 947
flow.mgr.flows_timeout                        | Total                     | 4465
flow.mgr.flows_evicted                        | Total                     | 4476
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1454080
http.memuse                                   | Total                     | 15648
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:12:55 (uptime: 0d, 00h 22m 24s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 40978
decoder.pkts                                  | Total                     | 41008
decoder.bytes                                 | Total                     | 3658350
decoder.ipv4                                  | Total                     | 40455
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 41008
decoder.tcp                                   | Total                     | 34547
decoder.udp                                   | Total                     | 3237
decoder.icmpv4                                | Total                     | 2689
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2320
flow.udp                                      | Total                     | 3123
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 38
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 56
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 277
tcp.sessions                                  | Total                     | 2320
tcp.syn                                       | Total                     | 8302
tcp.synack                                    | Total                     | 8302
tcp.rst                                       | Total                     | 7326
detect.alert                                  | Total                     | 22950
app_layer.flow.http                           | Total                     | 976
app_layer.tx.http                             | Total                     | 976
app_layer.flow.dns_udp                        | Total                     | 1603
app_layer.tx.dns_udp                          | Total                     | 1606
app_layer.flow.failed_udp                     | Total                     | 1520
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 9999
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5446
flow.mgr.flows_notimeout                      | Total                     | 952
flow.mgr.flows_timeout                        | Total                     | 4494
flow.mgr.flows_evicted                        | Total                     | 4505
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1388544
http.memuse                                   | Total                     | 14112
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:13:03 (uptime: 0d, 00h 22m 32s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 41264
decoder.pkts                                  | Total                     | 41279
decoder.bytes                                 | Total                     | 3686562
decoder.ipv4                                  | Total                     | 40726
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 41279
decoder.tcp                                   | Total                     | 34793
decoder.udp                                   | Total                     | 3251
decoder.icmpv4                                | Total                     | 2700
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2336
flow.udp                                      | Total                     | 3136
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 38
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 56
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 278
tcp.sessions                                  | Total                     | 2336
tcp.syn                                       | Total                     | 8351
tcp.synack                                    | Total                     | 8351
tcp.rst                                       | Total                     | 7365
detect.alert                                  | Total                     | 23112
app_layer.flow.http                           | Total                     | 986
app_layer.tx.http                             | Total                     | 986
app_layer.flow.dns_udp                        | Total                     | 1609
app_layer.tx.dns_udp                          | Total                     | 1612
app_layer.flow.failed_udp                     | Total                     | 1527
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 10038
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5486
flow.mgr.flows_notimeout                      | Total                     | 956
flow.mgr.flows_timeout                        | Total                     | 4530
flow.mgr.flows_evicted                        | Total                     | 4541
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1429504
http.memuse                                   | Total                     | 15072
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:13:11 (uptime: 0d, 00h 22m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 41572
decoder.pkts                                  | Total                     | 41594
decoder.bytes                                 | Total                     | 3716509
decoder.ipv4                                  | Total                     | 41041
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 41594
decoder.tcp                                   | Total                     | 35066
decoder.udp                                   | Total                     | 3273
decoder.icmpv4                                | Total                     | 2720
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2354
flow.udp                                      | Total                     | 3158
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 38
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 56
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 278
tcp.sessions                                  | Total                     | 2354
tcp.syn                                       | Total                     | 8412
tcp.synack                                    | Total                     | 8412
tcp.rst                                       | Total                     | 7417
detect.alert                                  | Total                     | 23297
app_layer.flow.http                           | Total                     | 995
app_layer.tx.http                             | Total                     | 995
app_layer.flow.dns_udp                        | Total                     | 1621
app_layer.tx.dns_udp                          | Total                     | 1624
app_layer.flow.failed_udp                     | Total                     | 1537
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 10066
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5525
flow.mgr.flows_notimeout                      | Total                     | 964
flow.mgr.flows_timeout                        | Total                     | 4561
flow.mgr.flows_evicted                        | Total                     | 4572
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1413120
http.memuse                                   | Total                     | 14688
flow.memuse                                   | Total                     | 7835104
------------------------------------------------------------------------------------
Date: 5/31/2025 -- 16:13:19 (uptime: 0d, 00h 22m 48s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 41790
decoder.pkts                                  | Total                     | 41814
decoder.bytes                                 | Total                     | 3734785
decoder.ipv4                                  | Total                     | 41255
decoder.ipv6                                  | Total                     | 41
decoder.ethernet                              | Total                     | 41814
decoder.tcp                                   | Total                     | 35241
decoder.udp                                   | Total                     | 3294
decoder.icmpv4                                | Total                     | 2738
decoder.icmpv6                                | Total                     | 19
decoder.avg_pkt_size                          | Total                     | 89
decoder.max_pkt_size                          | Total                     | 943
flow.tcp                                      | Total                     | 2367
flow.udp                                      | Total                     | 3179
flow.icmpv6                                   | Total                     | 10
flow.tcp_reuse                                | Total                     | 39
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 57
decoder.event.ipv4.opt_pad_required           | Total                     | 4
decoder.event.ipv6.zero_len_padn              | Total                     | 10
flow.wrk.flows_evicted                        | Total                     | 280
tcp.sessions                                  | Total                     | 2367
tcp.syn                                       | Total                     | 8457
tcp.synack                                    | Total                     | 8457
tcp.rst                                       | Total                     | 7458
detect.alert                                  | Total                     | 23420
app_layer.flow.http                           | Total                     | 999
app_layer.tx.http                             | Total                     | 999
app_layer.flow.dns_udp                        | Total                     | 1633
app_layer.tx.dns_udp                          | Total                     | 1636
app_layer.flow.failed_udp                     | Total                     | 1546
flow.mgr.full_hash_pass                       | Total                     | 6
flow.spare                                    | Total                     | 10095
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 5557
flow.mgr.flows_notimeout                      | Total                     | 968
